"artifact_id","artifact_name","domain","primary_activity","primary_output","requires_judgment","defines_concepts","defines_relationships","prescribes_sequence","representation_heavy","implementation_independent","primary_artifact_type","capabilities","framework_grammar_primary","framework_grammar_secondary","primitive_composition","confidence","notes"
"edf","EDF","diagnostic analysis","structured diagnosis","reasoning structure","yes","yes","yes","mixed","no","yes","framework","Reasoning; Assessment; Diagnosis; Evaluation; Traceability","diagnostic","","context; manifestations; origins; propagation; control points; calibration","high","Core Framework Engineering case"
"clarity","Clarity","decision making","structured reflection","reasoning structure","yes","yes","yes","mixed","no","yes","framework","Reasoning; Decision Support; Assessment; Communication","decision","","understanding; justification; reconsideration criteria","high","Framework with reflective grammar"
"scrum","Scrum","delivery management","team coordination","practice","yes","yes","mixed","yes","no","yes","methodology","Execution; Coordination; Planning; Alignment","", "","roles; events; artifacts","medium","Identity separated from capabilities"
"kanban","Kanban","flow management","work management","flow","yes","yes","yes","yes","mixed","yes","process","Execution; Monitoring; Optimization; Coordination","", "","work items; states; limits; pull signals","medium","Flow management with overlapping capabilities"
"uml","UML","software modeling","representation","syntax","mixed","yes","yes","no","yes","yes","notation","Representation; Modeling; Communication; Visualization","","","diagram types; symbols; relations","high","Modeling language more than framework"
"bpmn","BPMN","process modeling","representation","syntax","mixed","yes","yes","no","yes","yes","notation","Representation; Modeling; Communication; Documentation","","","events; tasks; gateways; flows","high","Notation for process description"
"osi_model","OSI Model","networking","conceptual representation","abstraction","mixed","yes","yes","no","mixed","yes","model","Modeling; Communication; Documentation","","","layers; interfaces","high","Reference model, not primarily a framework"
"iso_9001","ISO 9001","quality management","conformance guidance","requirements","yes","yes","mixed","mixed","no","yes","standard","Compliance; Governance; Documentation; Evaluation","","","requirements; controls; audit criteria","high","Standard with operational implications"
"zachman","Zachman","enterprise architecture","classification","categories","yes","yes","mixed","no","yes","yes","taxonomy","Classification; Modeling; Documentation","","","rows; columns; viewpoints","medium","Often labeled framework but classification dominates"
"mitre_attack","MITRE ATT&CK","threat intelligence","knowledge organization","semantic model","yes","yes","yes","no","yes","yes","ontology","Classification; Modeling; Representation; Diagnosis","","","tactics; techniques; procedures","medium","Knowledge base with ontology-like structure"
