primitive,definition,status,notes
Bound,Define the system scope or problem boundary,provisional,"Used broadly across planning diagnostic and operational artifacts"
Observe,Acquire information about the system or situation,provisional,"Stable across most empirical and situational artifacts"
Classify,Organize information into categories or types,provisional,"Especially important for SWOT Cynefin STRIDE and other categorical artifacts"
Interpret,Assign meaning to observations or context,provisional,"Handled orientation assumptions and abstraction but sometimes overlapped with Explain"
Explain,Develop causal or explanatory understanding,provisional,"Strongly reused in causal and diagnostic artifacts"
Generate,Produce options hypotheses ideas or alternatives,provisional,"Covered ideation hypothesis formation and candidate diagnosis generation"
Evaluate,Judge against criteria goals or evidence,provisional,"Frequently reused but may be compressing comparison and ranking functions"
Decide,Commit to an option or conclusion,provisional,"Stable across action-oriented artifacts"
Act,Change the system or initiate an intervention,provisional,"Covered implementation deployment and prototyping moves"
Verify,Test whether a claim conclusion or result holds,provisional,"Stable across empirical and review loops"
Reflect,Extract lessons or update understanding from experience,provisional,"Useful for review and learning cycles"
Reassess,Reopen a prior judgment when new evidence or conditions appear,provisional,"Stable in iterative and adaptive artifacts"
Communicate,Transmit reasoning conclusions or information to others,provisional,"Useful where alignment reporting or command transmission is structurally important"
Prioritize,Order issues options or actions by relative importance or urgency,candidate,"Candidate added during FE-012A internal run from FMEA Scrum and Hoshin Kanri"
Compare,Contrast alternatives or states against one another to identify relative differences,candidate,"Candidate added during FE-012A internal run from Decision Matrix and related comparative structures"
