artifact_order,artifact_id,new_raw_verbs,new_normalized_primitives,new_candidate_primitives,total_primitives_after_artifact,notes
1,SWOT,"define;identify;sort;assess",,,13,"Seed vocabulary handled basic classification flow"
2,Five Whys,"state;ask why;confirm",,,13,"Repeated Explain appeared without requiring new primitive"
3,OODA Loop,"orient;loop",,,13,"Interpret and Reassess covered orientation cycle adequately"
4,Scientific Method,"hypothesize;test;revise",,,13,"Generate Verify Reassess covered core scientific flow"
5,FMEA,"identify failure modes;prioritize",,Prioritize,14,"Prioritize recorded as candidate because ordering function was not cleanly reducible to Evaluate"
6,Design Thinking,"empathize;ideate;prototype;iterate",,,14,"No additional primitive required"
7,Scrum,"order backlog;retrospect;adapt",,,14,"Prioritize reused; reflect and reassess remained sufficient"
8,Bloom's Taxonomy,"categorize;distinguish levels",,,14,"Classification artifact stressed weak procedural reconstructability"
9,Cynefin,"place domain",,,14,"Classification plus interpretation remained sufficient"
10,Business Model Canvas,"map components",,,14,"No new primitive, but representational artifacts showed weaker reconstruction"
11,Medical differential diagnosis,"rank likelihood;refute",,,14,"Evaluate Verify Reassess handled diagnostic flow"
12,Incident Command System,"assign roles;direct operations",,,14,"No new primitive despite operational vocabulary"
13,PDCA,"check;study",,,14,"Reflect and Verify sufficient though their boundary remained soft"
14,Root Cause Analysis,"gather evidence;identify causal chain",,,14,"Explain and Verify remained sufficient"
15,Decision Matrix,"compare options",,Compare,15,"Compare recorded as candidate because side-by-side contrast was stronger than generic Evaluate"
16,Theory of Change,"map pathway;state assumptions",,,15,"No new primitive validated"
17,After Action Review,"extract lessons",,,15,"Reflect reused cleanly"
18,STRIDE,"sort threat types;select mitigation",,,15,"Security domain did not force domain-specific primitive"
19,Kolb Learning Cycle,"abstract;experiment",,,15,"Interpret and Reassess remained usable but some compression was evident"
20,Hoshin Kanri,"align;review progress",,,15,"Prioritize reused; vocabulary growth had slowed by the end of the set"
